fold,roc_auc,pr_auc,brier,sens_at_20,vpp_at_20,umbral_capacidad
0,0.5839285714285715,0.291385572726607,0.17424072498953813,0.2,0.15384615384615385,0.46517538576109957
1,0.623015873015873,0.3196589959747854,0.17106210218263543,0.4444444444444444,0.3076923076923077,0.506588122755213
2,0.6418181818181817,0.3441793127507414,0.16335413658627138,0.3,0.23076923076923078,0.43884091899318206
3,0.5836363636363637,0.22027737905369485,0.18127749117230327,0.2,0.15384615384615385,0.5259903735202877
4,0.6327272727272728,0.3360362669239259,0.15587791170751908,0.4,0.3076923076923077,0.40917426679456953
5,0.6589285714285714,0.34204184704184704,0.16674238550097922,0.5,0.38461538461538464,0.462000533223906
6,0.5912698412698413,0.3194948778273916,0.15977572331636528,0.4444444444444444,0.3076923076923077,0.47542473357401877
7,0.6309090909090909,0.28041651850973887,0.17171470617227905,0.4,0.3076923076923077,0.5037426712901595
8,0.6327272727272728,0.250544174476686,0.1779468292129201,0.3,0.23076923076923078,0.4825943136183572
9,0.5854545454545454,0.36646535976586003,0.1626509046702336,0.3,0.23076923076923078,0.4615193301007214
10,0.6839285714285713,0.35596167616844304,0.14930919966152603,0.5,0.38461538461538464,0.45396168746194776
11,0.5575396825396826,0.1842852620387611,0.1742374225360002,0.2222222222222222,0.15384615384615385,0.4897587429130608
12,0.5272727272727272,0.1903905382700312,0.19418895649388687,0.2,0.15384615384615385,0.5051549394748721
13,0.5581818181818182,0.27962517864486003,0.17309759554257506,0.4,0.3076923076923077,0.45397260384541976
14,0.5981818181818183,0.26696726015222627,0.1646058448175644,0.3,0.23076923076923078,0.41913806360701644
15,0.6839285714285714,0.3408102322206096,0.15409025921527558,0.4,0.3076923076923077,0.42088917749755406
16,0.5515873015873016,0.27688746438746437,0.1653529619397041,0.4444444444444444,0.3076923076923077,0.45509893439597326
17,0.5418181818181819,0.21555937585066895,0.17242896061070756,0.2,0.15384615384615385,0.4764181739115299
18,0.7636363636363636,0.5816664940244203,0.15604081396788894,0.5,0.38461538461538464,0.45394129885791384
19,0.5236363636363637,0.19010727102512093,0.2060420229524025,0.2,0.15384615384615385,0.5401241183462354
20,0.6732142857142858,0.4382809588072746,0.16211775902705275,0.4,0.3076923076923077,0.49408819572423784
21,0.5892857142857142,0.3686945653926786,0.1663984483717143,0.3333333333333333,0.23076923076923078,0.45439692999854875
22,0.6054545454545455,0.2149984643734644,0.17574178220447895,0.2,0.15384615384615385,0.4825039209764343
23,0.6836363636363636,0.32892468642468636,0.16533596984963614,0.4,0.3076923076923077,0.4717888675211997
24,0.7236363636363636,0.4361187013608103,0.1513858909177518,0.4,0.3076923076923077,0.43106999203301505
25,0.5446428571428571,0.2525564927919876,0.17949044929804533,0.4,0.3076923076923077,0.4821763231360105
26,0.5873015873015872,0.27615866383982324,0.16596666904533106,0.3333333333333333,0.23076923076923078,0.4558372312854503
27,0.6763636363636364,0.3292534078824401,0.17187995921702875,0.5,0.38461538461538464,0.4822884668307454
28,0.6527272727272728,0.3082204668463419,0.16164744530689895,0.4,0.3076923076923077,0.47384178661840576
29,0.7090909090909091,0.426869114440272,0.14935113661409485,0.4,0.3076923076923077,0.4328097713369214
30,0.7410714285714286,0.279563192189172,0.155874819317185,0.3,0.23076923076923078,0.46321364039243934
31,0.746031746031746,0.4390828818302582,0.1579812579741402,0.4444444444444444,0.3076923076923077,0.4728989463624014
32,0.6181818181818182,0.33973136340783394,0.1636928725756755,0.3,0.23076923076923078,0.4509434154868632
33,0.6145454545454545,0.303312190054318,0.1780882142654448,0.4,0.3076923076923077,0.5262197168203897
34,0.5327272727272727,0.2674495628442997,0.18690817481199565,0.4,0.3076923076923077,0.4743428509784456
35,0.7410714285714286,0.3916117216117216,0.15999697523270856,0.5,0.38461538461538464,0.4907176883443016
36,0.6666666666666666,0.3038834404323535,0.15424511300788651,0.5555555555555556,0.38461538461538464,0.42490250781804095
37,0.5963636363636363,0.2337918551126804,0.17776520921549413,0.3,0.23076923076923078,0.5120415733871654
38,0.6290909090909091,0.3361062726427162,0.16205567920340094,0.4,0.3076923076923077,0.4378252060635726
39,0.5927272727272727,0.2828955377766923,0.17054962479478733,0.3,0.23076923076923078,0.4395400908961549
40,0.5982142857142858,0.31817388463208895,0.16279124268439457,0.2,0.15384615384615385,0.45484703439438706
41,0.628968253968254,0.22910492203488655,0.1722271119989969,0.3333333333333333,0.23076923076923078,0.48429710034878404
42,0.5745454545454546,0.3176615862148596,0.1751737012372852,0.3,0.23076923076923078,0.47696859480529297
43,0.78,0.5428716673397525,0.1560332163430962,0.5,0.38461538461538464,0.44365854214171224
44,0.6690909090909092,0.36167676185062736,0.1591943321294342,0.5,0.38461538461538464,0.4471982409509255
45,0.5142857142857142,0.17622988176559606,0.1795862606492913,0.2,0.15384615384615385,0.4448310145704368
46,0.6994047619047619,0.2964647942718118,0.14917355803689494,0.4444444444444444,0.3076923076923077,0.4334363419226582
47,0.6454545454545455,0.2890219207438887,0.17199203835155755,0.4,0.3076923076923077,0.48660060024176377
48,0.6963636363636364,0.4261925111925112,0.1548395458554194,0.4,0.3076923076923077,0.45761854670898117
49,0.8072727272727271,0.46099567099567096,0.15363453889639142,0.5,0.38461538461538464,0.45611410620978043
