,media,de
wealth_quintile,1.0926102601059773,0.1628824444874755
sga,0.6717880422745032,0.12919105827818636
hfia_enr,0.6126160381141069,0.1385148849345473
mom_muac_cat,0.48849945151709206,0.10685644787511944
educ_cat_n,0.46884165662642097,0.10943721019409886
caesarean,0.37346642803690655,0.11405587472727233
momage_cat,0.3634397841035058,0.11969493903262016
enrol_anemia,0.3356399276539998,0.11024812453606829
lbw,0.3252558977568586,0.0861528563671035
b1_sex,0.24226622099406175,0.1033847495945935
parity,0.21722795618470336,0.0935696173588249
depression,0.20831995526890484,0.09511836367826301
preterm,0.16990891804606179,0.08204364268311823
enrol_hiv_status_cat,0.12238140483407166,0.08036088383667084
marital_cat,0.09478114038932667,0.08477401215618681
gestage_final,0.07492051107275235,0.04084886609992118
