horizonte,modelo,peldano,n_features,roc_auc_mean,roc_auc_std,roc_auc_ci_lo,roc_auc_ci_hi,pr_auc_mean,pr_auc_std,pr_auc_ci_lo,pr_auc_ci_hi,brier_mean,brier_std,brier_ci_lo,brier_ci_hi,sens_at_20_mean,sens_at_20_std,sens_at_20_ci_lo,sens_at_20_ci_hi,vpp_at_20_mean,vpp_at_20_std,vpp_at_20_ci_lo,vpp_at_20_ci_hi
24m,lr_C0.1,A,16,0.5828415967454869,0.06972485654614072,0.47929061784897015,0.7224561403508772,0.41332304734228076,0.08336250035047256,0.3016447891803282,0.579691286567067,0.2396200099944816,0.012522870925328796,0.21004816396027484,0.2568187939420735,0.26947368421052625,0.07859930433306454,0.11710526315789474,0.42105263157894735,0.39384615384615396,0.11487590633294048,0.17115384615384616,0.6153846153846154
24m,lr_C0.1,B,19,0.7216018306636157,0.0631903226082321,0.6122864225781846,0.8364130434782607,0.5336934162066083,0.09642640425468732,0.3714391471876593,0.7140077638500625,0.21058108018301375,0.022937554505243013,0.1659476715034868,0.25683256659463727,0.3526315789473684,0.0790368272241678,0.16973684210526316,0.47368421052631576,0.5153846153846154,0.1155153628660914,0.24807692307692308,0.6923076923076923
24m,lr_C0.1,C,23,0.7487449783879989,0.06623683772596142,0.6267677345537758,0.8654150775489448,0.5816620110191834,0.09844091715149096,0.40977321833159003,0.7504061656839737,0.2001981868883744,0.024454119604750277,0.15953490055611586,0.257710624059572,0.3905263157894736,0.07450061758445156,0.2631578947368421,0.5263157894736842,0.5707692307692308,0.10888551800804461,0.38461538461538464,0.7692307692307693
24m,lr_C0.1,D,27,0.7922705314009661,0.05930724014988764,0.6809649122807018,0.8938412153572336,0.6381097363240981,0.08952440224012921,0.47068194610536573,0.7878632005951777,0.18246929393661926,0.026883545161669697,0.13620618345646834,0.231631232094573,0.43684210526315786,0.07686108383556718,0.3157894736842105,0.5671052631578947,0.6384615384615384,0.11233543022121359,0.46153846153846156,0.8288461538461538
24m,rf_d6,A,16,0.5682003559623696,0.06560031263276396,0.4776315789473684,0.684599542334096,0.4071337622720053,0.07190750327944165,0.30121046804978013,0.5394523852034104,0.22875705466125804,0.009350824959253903,0.21164254574613967,0.2423836049817743,0.24210526315789468,0.06972645485335116,0.11710526315789474,0.3684210526315789,0.3538461538461539,0.10190789555489783,0.17115384615384616,0.5384615384615384
24m,rf_d6,B,19,0.7211533180778033,0.06584729402053287,0.5988132468853292,0.835612128146453,0.5150950659885177,0.09173580265186825,0.3813461837319472,0.7031444239030498,0.198539490108456,0.01671756859752186,0.17171298943139826,0.22815041848037387,0.3210526315789473,0.0884857315484197,0.21052631578947367,0.5144736842105262,0.4692307692307692,0.12932529995538264,0.3076923076923077,0.7519230769230768
24m,rf_d6,C,23,0.7494477498093057,0.06500037134764024,0.638406432748538,0.8778044749555047,0.5512591647235487,0.08763810053285642,0.3903882553059424,0.7164249973494478,0.1891305475001581,0.021295311380639715,0.15523725904994673,0.22711130128168908,0.3526315789473684,0.08654785288136344,0.21052631578947367,0.47368421052631576,0.5153846153846154,0.12649301574968502,0.3076923076923077,0.6923076923076923
24m,rf_d6,D,27,0.7928466819221969,0.06339983362173388,0.6665204678362573,0.9091164505466566,0.6248165448076248,0.09610337975664376,0.44737263536340727,0.7860560201990618,0.1731894058580178,0.023220924083645983,0.13360970752070495,0.2237549353095802,0.4126315789473684,0.07620366592072136,0.2631578947368421,0.5263157894736842,0.6030769230769232,0.111374588653362,0.38461538461538464,0.7692307692307693
12m,lr_C0.1,A,16,0.6830531746031747,0.06631610010477826,0.5740422077922078,0.8112727272727273,0.3478597685974153,0.08373479178157733,0.20987813071424533,0.5277242829677103,0.20571941776328967,0.01462988105495138,0.18385285362544146,0.2305756666158327,0.37222222222222223,0.1048400382033564,0.2,0.5774999999999998,0.2800000000000001,0.07887630085681918,0.15384615384615385,0.44423076923076915
12m,lr_C0.1,B,19,0.7882549062049061,0.05879865818987313,0.6662727272727273,0.8805909090909091,0.46371201927100236,0.11766510554418443,0.24410574286785672,0.6688618105932962,0.17352884069282587,0.021312292362616402,0.13535374260421523,0.20791815164097258,0.48844444444444435,0.11232802986688926,0.3,0.7,0.36769230769230765,0.08410722249737342,0.23076923076923078,0.5384615384615384
